ID ,COMMENT,LANGUAGE
1,it is a pleasant day! Isnt it?,en
2,Happy Thanks Giving to all. ,en
3,looks like it is going to rain today.,en
4,can you please help mr find out my bus route.,en
5,is there a kick boxing training centre in kingston?,en
6,kya apne dubai dekha hai?,hin
7,kem cho tame?,guj
8,je m'appelle fenil.,fr
9,do you prefer andriod or ios?,en
10,tu es un chein mignon,fr
11,winter is coming.,en
12,autumn is a very comfy season,en
13,mangoes are delicious,en
14,"I love spicy food, do you? ",en
15,are there any traditional indian resturants here?,en
